ID,Publish Date,Title,Author ID,Comment Count,Primary Tickers,Secondary Tickers,Image URL
4156837,2024-10-07T16:35:34-04:00,Match Group promotes Steven Bailey to CFO,59062064,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/625496382/image_625496382.jpg
4150637,2024-09-18T09:34:17-04:00,UBS highlights 30 stocks poised for potential moves after the Fed’s expected rate cut,53367831,31,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/182416835/image_182416835.jpg
4149785,2024-09-14T09:40:07-04:00,Most shorted S&P 500 stocks in August,54434154,7,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1828680033/image_1828680033.jpg
4140722,2024-08-15T14:22:35-04:00,"Glenview Capital's Q2 moves include selling Broadcom after just one quarter, exiting Meta",56228617,5,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1173507717/image_1173507717.jpg
4140102,2024-08-14T17:14:27-04:00,"Paul Singer's Elliott Management exits Nvidia, BTU, adds LUV, ARM, among other Q2 moves",54370868,7,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/460317204/image_460317204.jpg
4138984,2024-08-13T05:33:36-04:00,Apple's antitrust probe reports being recalled by Indian regulator - report,54324280,1,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/458529021/image_458529021.jpg
4136868,2024-08-08T05:23:41-04:00,Bumble tumbles over 35% after slashing 2024 revenue growth outlook,54324280,1,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1950669701/image_1950669701.jpg
4156837,2024-10-07T16:35:34-04:00,Match Group promotes Steven Bailey to CFO,59062064,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/625496382/image_625496382.jpg
4150637,2024-09-18T09:34:17-04:00,UBS highlights 30 stocks poised for potential moves after the Fed’s expected rate cut,53367831,31,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/182416835/image_182416835.jpg
4149785,2024-09-14T09:40:07-04:00,Most shorted S&P 500 stocks in August,54434154,7,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1828680033/image_1828680033.jpg
4140722,2024-08-15T14:22:35-04:00,"Glenview Capital's Q2 moves include selling Broadcom after just one quarter, exiting Meta",56228617,5,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1173507717/image_1173507717.jpg
4140102,2024-08-14T17:14:27-04:00,"Paul Singer's Elliott Management exits Nvidia, BTU, adds LUV, ARM, among other Q2 moves",54370868,7,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/460317204/image_460317204.jpg
