ID,Publish Date,Title,Author ID,Comment Count,Primary Tickers,Secondary Tickers,Image URL
4189091,2024-10-22T08:15:01-04:00,Amadeus pares gains after saying it hasn't been contacted by Uber amid speculation,52996117,0,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1155003157/image_1155003157.jpg
4173589,2024-10-19T14:36:00-04:00,"M&A deals roundup: Expedia, Sanofi, Zuora, Forward Air and more",59093036,0,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1214292992/image_1214292992.jpg
4169972,2024-10-17T10:05:39-04:00,Key takeaways from reports that Uber may be looking to acquire Expedia,954720,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1311247904/image_1311247904.jpg
4168149,2024-10-16T21:55:21-04:00,Expedia gains after report Uber explored potential takeover,52996117,35,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1284409813/image_1284409813.jpg
4151206,2024-09-19T10:51:52-04:00,Travel and leisure stocks are outperforming after the Fed rate cut,954720,9,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/165999267/image_165999267.jpg
4147430,2024-09-05T14:48:45-04:00,"Meta Platforms, MercadoLibre, and DoorDash are top Internet picks at Cantor Fitzgerald",59695326,3,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1744124538/image_1744124538.jpg
4140722,2024-08-15T14:22:35-04:00,"Glenview Capital's Q2 moves include selling Broadcom after just one quarter, exiting Meta",56228617,5,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1173507717/image_1173507717.jpg
4140137,2024-08-14T18:47:48-04:00,"Whale Rock dives into Google, Coupang, sheds Salesforce, Marvell, others in Q2",49447318,6,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1436767603/image_1436767603.jpg
4138253,2024-08-09T13:12:24-04:00,"Volume Leaders: U, EXPE, FIVN, ELF, and more",53367831,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1397937755/image_1397937755.jpg
4137841,2024-08-09T10:18:15-04:00,"Biggest stock movers today: DOCS, PARA, TTD, and more",32439325,1,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1311598658/image_1311598658.jpg
