ID,Publish Date,Title,Author ID,Comment Count,Primary Tickers,Secondary Tickers,Image URL
4209461,2024-10-27T07:00:00-04:00,It's National American Beer Day: These are the top-selling beers in the U.S.,954720,15,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1927555380/image_1927555380.jpg
4156989,2024-10-08T09:22:39-04:00,"Wells Fargo tweaks signature picks list, sells AMZN, STZ while upping MSFT",53367831,2,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/173775139/image_173775139.jpg
4156941,2024-10-08T07:28:06-04:00,Constellation Brands loses bull rating at TD Cowen,954720,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/533717716/image_533717716.jpg
4156779,2024-10-07T11:46:16-04:00,Beer drinking on the decline? Constellation Brands downgraded on depletion data,59695326,1,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1498503625/image_1498503625.jpg
4156514,2024-10-05T13:46:00-04:00,Earnings Scorecard: 4 out of 7 S&P 500 companies that reported earnings this week beat estimates,60812553,4,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1688768244/image_1688768244.jpg
4155890,2024-10-03T08:01:05-04:00,Constellation Brands gains after beer strength from Modelo Especial and Pacifico offset soft wine sales,954720,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/533717716/image_533717716.jpg
4155889,2024-10-03T07:56:24-04:00,"Earnings Snapshot: Constellation Brands reports mixed FQ2 results, affirms FY2025 outlook",32439325,0,tag,,
4155885,2024-10-03T07:50:15-04:00,Constellation Brands declares $1.01 dividend,56260577,0,tag,,
4155877,2024-10-03T07:34:39-04:00,"Constellation Brands Non-GAAP EPS of $4.32 beats by $0.25, revenue of $2.92B misses by $20M",1108356,0,tag,,
4155549,2024-10-02T10:57:29-04:00,Constellation Brands Q2 2025 Earnings Preview,49282475,0,tag,,
4146289,2024-09-03T11:25:12-04:00,"Nielsen reads: Bang, Keurig Dr Pepper and Constellation Brands outperform",954720,13,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/458552403/image_458552403.jpg
4146247,2024-09-03T10:51:33-04:00,Constellation Brands lowers FY25 EPS outlook on soft demand for wine and spirits,59695326,1,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1480363699/image_1480363699.jpg
4141906,2024-08-20T10:11:24-04:00,Constellation Brands and Anheuser-Busch pick up market share as overall beer sales remain sluggish,954720,7,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1474893276/image_1474893276.jpg
4140102,2024-08-14T17:14:27-04:00,"Paul Singer's Elliott Management exits Nvidia, BTU, adds LUV, ARM, among other Q2 moves",54370868,7,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/460317204/image_460317204.jpg
4132422,2024-08-01T12:14:45-04:00,Dollar General and Philip Morris are on Goldman Sachs' list of highest conviction stock picks,954720,62,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1487894858/image_1487894858.jpg
4209461,2024-10-27T07:00:00-04:00,It's National American Beer Day: These are the top-selling beers in the U.S.,954720,15,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1927555380/image_1927555380.jpg
4156989,2024-10-08T09:22:39-04:00,"Wells Fargo tweaks signature picks list, sells AMZN, STZ while upping MSFT",53367831,2,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/173775139/image_173775139.jpg
4156941,2024-10-08T07:28:06-04:00,Constellation Brands loses bull rating at TD Cowen,954720,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/533717716/image_533717716.jpg
4156779,2024-10-07T11:46:16-04:00,Beer drinking on the decline? Constellation Brands downgraded on depletion data,59695326,1,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1498503625/image_1498503625.jpg
4156514,2024-10-05T13:46:00-04:00,Earnings Scorecard: 4 out of 7 S&P 500 companies that reported earnings this week beat estimates,60812553,4,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1688768244/image_1688768244.jpg
4155890,2024-10-03T08:01:05-04:00,Constellation Brands gains after beer strength from Modelo Especial and Pacifico offset soft wine sales,954720,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/533717716/image_533717716.jpg
4155889,2024-10-03T07:56:24-04:00,"Earnings Snapshot: Constellation Brands reports mixed FQ2 results, affirms FY2025 outlook",32439325,0,tag,,
4155885,2024-10-03T07:50:15-04:00,Constellation Brands declares $1.01 dividend,56260577,0,tag,,
4155877,2024-10-03T07:34:39-04:00,"Constellation Brands Non-GAAP EPS of $4.32 beats by $0.25, revenue of $2.92B misses by $20M",1108356,0,tag,,
4155549,2024-10-02T10:57:29-04:00,Constellation Brands Q2 2025 Earnings Preview,49282475,0,tag,,
4146289,2024-09-03T11:25:12-04:00,"Nielsen reads: Bang, Keurig Dr Pepper and Constellation Brands outperform",954720,13,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/458552403/image_458552403.jpg
